"COUNTRY","Country","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"AZE","Azerbaijan","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2001","2001",68.92,,
"AZE","Azerbaijan","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2002","2002",78.56,,
"AZE","Azerbaijan","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2003","2003",87.93,,
"AZE","Azerbaijan","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2004","2004",97.63,,
"AZE","Azerbaijan","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2005","2005",126.91,,
"AZE","Azerbaijan","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2006","2006",121.04,,
"AZE","Azerbaijan","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2007","2007",129,,
"AZE","Azerbaijan","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2008","2008",120.04,,
"AZE","Azerbaijan","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2009","2009",103.94,,
"AZE","Azerbaijan","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2010","2010",102.16,,
"AZE","Azerbaijan","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2011","2011",110.76,,
"AZE","Azerbaijan","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2012","2012",125.65,,
"AZE","Azerbaijan","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2013","2013",123.61,,
"BLR","Belarus","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2000","2000",159.32,,
"BLR","Belarus","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2001","2001",160.56,,
"BLR","Belarus","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2002","2002",175.16,,
"BLR","Belarus","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2003","2003",179.95,,
"BLR","Belarus","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2004","2004",173.48,,
"BLR","Belarus","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2005","2005",173.13,,
"BLR","Belarus","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2006","2006",179.72,,
"BLR","Belarus","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2007","2007",158.79,,
"BLR","Belarus","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2008","2008",164.15,,
"BLR","Belarus","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2009","2009",139.06,,
"BEL","Belgium","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2000","2000",143.4,,
"BEL","Belgium","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2001","2001",144.46,,
"BEL","Belgium","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2002","2002",130.94,,
"BEL","Belgium","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2003","2003",117.19,,
"BEL","Belgium","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2004","2004",111.6,,
"BEL","Belgium","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2005","2005",103.93,,
"BEL","Belgium","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2006","2006",101.35,,
"BEL","Belgium","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2007","2007",100.42,,
"BEL","Belgium","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2008","2008",88.14,,
"BEL","Belgium","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2009","2009",87.34,,
"BEL","Belgium","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2010","2010",77.19,,
"BEL","Belgium","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2011","2011",78.02,,
"BEL","Belgium","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2012","2012",69.19,,
"BEL","Belgium","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2013","2013",64.74,,
"BEL","Belgium","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2014","2014",64.73,,
"BEL","Belgium","IND-SAFE-KILL-PC","Road fatalities per one million inhabitants","2015","2015",64.86,,
"BEL","Belgium","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2000","2000",256.32,,
"BEL","Belgium","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2001","2001",254.58,,
"BEL","Belgium","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2002","2002",228.78,,
"BEL","Belgium","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2003","2003",203.34,,
"BEL","Belgium","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2004","2004",191.85,,
"BEL","Belgium","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2005","2005",176.81,,
"BEL","Belgium","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2006","2006",171.01,,
"BEL","Belgium","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2007","2007",167.71,,
"BEL","Belgium","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2008","2008",145.63,,
"BEL","Belgium","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2009","2009",143.42,,
"BEL","Belgium","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2010","2010",125.73,,
"BEL","Belgium","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2011","2011",125.62,,
"BEL","Belgium","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2012","2012",111.26,,
"BEL","Belgium","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2013","2013",103.52,,
"BEL","Belgium","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2014","2014",102.74,,
"BEL","Belgium","IND-SAFE-KILL-VEH","Road fatalities per one million road motor vehicles","2015","2015",102.02,,
"BEL","Belgium","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2000","2000",0.02,,
"BEL","Belgium","IND-SAFE-KILL-VEH-KM","Road fatalities per one million vehicle-km","2001","2001",0.02,,
