time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-09T14:30:05.100Z,36.6019,-97.6111,7.987,3.4,ml,,49,,0.21,us,us10008qt6,2017-05-31T14:01:49.329Z,"25km SSE of Medford, Oklahoma",earthquake,1.1,4.7,,,reviewed,tul,tul
2017-05-07T21:39:53.500Z,36.9197,-98.1299,7.514,3,ml,,80,,0.53,us,us10008qcw,2017-06-06T04:37:08.937Z,"27km SSW of Anthony, Kansas",earthquake,1.7,5.2,,,reviewed,tul,tul
2017-05-07T21:08:21.100Z,36.9182,-98.1294,8.274,3.3,ml,,80,,0.52,us,us10008qcs,2017-06-06T02:33:56.167Z,"27km SSW of Anthony, Kansas",earthquake,3.5,6.5,,,reviewed,tul,tul
2017-05-07T17:01:14.600Z,36.9202,-98.1295,9.898,3,ml,,80,,0.19,us,us10008qbr,2017-06-12T16:30:16.040Z,"27km SSW of Anthony, Kansas",earthquake,1.4,5,,,reviewed,tul,tul
2017-05-07T16:52:07.400Z,36.6013,-97.6169,6.359,3.2,ml,,49,,0.14,us,us10008qbn,2017-05-28T15:19:40.052Z,"25km SSE of Medford, Oklahoma",earthquake,1.1,4.4,,,reviewed,tul,tul
2017-05-05T11:21:07.600Z,36.2183,-97.5683,6.602,3,ml,,23,,0.46,us,us10008ppn,2017-06-06T13:23:14.040Z,"26km WSW of Perry, Oklahoma",earthquake,1.2,6.1,,,reviewed,tul,tul
2017-05-04T23:36:47.950Z,37.2278,-97.8698,4.28,3.7,ml,,78,0.022,0.21,us,us10008pi7,2017-06-21T16:07:11.771Z,"15km ESE of Harper, Kansas",earthquake,1.6,2.9,0.179,17,reviewed,ismp,ismp
2017-05-04T23:33:09.000Z,35.7936,-97.1923,5.502,3.1,ml,,36,,0.5,us,us10008pi6,2017-05-09T00:27:18.071Z,"14km N of Luther, Oklahoma",earthquake,1.2,5.9,,,reviewed,tul,tul
2017-04-29T09:48:15.500Z,36.6999,-97.6698,8.594,3.3,mwr,,50,,0.43,us,us10008lzd,2017-07-21T02:32:11.040Z,"13km SSE of Medford, Oklahoma",earthquake,1.3,1.3,,13,reviewed,tul,slm
2017-04-28T01:40:56.500Z,36.4613,-98.7675,4.806,3.2,ml,,48,,0.51,us,us10008lh8,2017-07-21T02:32:09.040Z,"33km NW of Fairview, Oklahoma",earthquake,2.1,6.7,,,reviewed,tul,tul
2017-04-28T01:23:47.600Z,35.7991,-96.6522,7.112,3,ml,,62,,0.49,us,us10008lh3,2017-07-21T02:32:09.040Z,"5km N of Stroud, Oklahoma",earthquake,1.6,6,,,reviewed,tul,tul
2017-04-26T16:29:12.900Z,36.698,-97.6711,6.452,3,ml,,50,,0.22,us,us10008l2l,2017-07-21T02:32:07.040Z,"13km SSE of Medford, Oklahoma",earthquake,0.9,5.5,,,reviewed,tul,tul
2017-04-26T00:46:30.600Z,36.4763,-98.7432,8.292,3,ml,,45,,0.26,us,us10008kw8,2017-07-21T02:32:06.040Z,"32km NW of Fairview, Oklahoma",earthquake,1.7,3.5,,,reviewed,tul,tul
